"filename", "language", "Python", "JSON", "Markdown", "comment", "blank", "total"
"d:\projects\trackmania\Clifga\app\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\projects\trackmania\Clifga\app\cli.py", "Python", 527, 0, 0, 252, 139, 918
"d:\projects\trackmania\Clifga\app\internalcmds.py", "Python", 138, 0, 0, 28, 33, 199
"d:\projects\trackmania\Clifga\app\syntax.py", "Python", 284, 0, 0, 121, 91, 496
"d:\projects\trackmania\Clifga\app\trackmania\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\projects\trackmania\Clifga\app\trackmania\gbxremote.py", "Python", 251, 0, 0, 48, 89, 388
"d:\projects\trackmania\Clifga\app\trackmania\state.py", "Python", 102, 0, 0, 0, 31, 133
"d:\projects\trackmania\Clifga\app\uicontroller.py", "Python", 183, 0, 0, 34, 62, 279
"d:\projects\trackmania\Clifga\clifga.py", "Python", 21, 0, 0, 7, 9, 37
"d:\projects\trackmania\Clifga\config.example.json", "JSON", 0, 17, 0, 0, 2, 19
"d:\projects\trackmania\Clifga\readme.md", "Markdown", 0, 0, 2, 0, 1, 3
"Total", "-", 1506, 17, 2, 490, 459, 2474
